# alpha , CN , SC , HC , VF
0.0001,0.2840,0.1624,0.5720,0.0133
0.0010,0.2840,0.1624,0.5720,0.0133
0.0100,0.2840,0.1624,0.5720,0.0133
0.1000,0.2831,0.1621,0.5704,0.0133
1.0000,0.2514,0.1501,0.5128,0.0133
10.0000,0.1519,0.1126,0.3320,0.0133
100.0000,0.1183,0.0990,0.2699,0.0131
